Column1;Word;Count
13230;psan;5
4333;feb;5
14557;ptbukalapak;5
14663;produck;5
14551;yanh;5
19401;mudahn;5
4582;dbuka;5
15484;cincai;5
1115;woe;5
11341;sx;5
18390;trimksih;5
4578;dishope;5
11027;cht;5
12391;unisntal;5
12488;yad;5
11114;gamasuk;5
3560;pol;5
18056;palapak;5
17829;mngambil;5
15659;god;5
6845;lkp;5
4048;utara;5
1505;tnggal;5
6814;amanaman;5
4437;lost;5
21522;pic;5
13659;terahir;5
3616;lemooot;5
11195;ssh;5
6789;pering;5
12398;dkrim;5
5029;sertif;5
14592;ye;5
3580;keti;5
16060;nomber;5
4470;sagat;5
1157;akh;5
3848;danadan;5
5583;kecewe;5
6096;andelin;5
20486;u;5
3815;bntuan;5
12162;trimksh;5
12856;hadeeeh;5
6181;yani;5
12748;apes;5
1202;bolakbalik;5
4157;kawatir;5
11995;sda;5
1211;kere;5
19126;apasih;5
12053;wassalamualaikum;5
14934;bukalapaktp;5
12776;kebih;5
11960;smpi;5
5577;trsedia;5
4859;ikhlasin;5
20240;nyasukses;5
14420;burik;5
1059;pot;5
20175;copas;5
11935;ati;5
6159;disain;5
15405;trma;5
13119;gwe;5
13109;cekat;5
14716;ataw;5
15276;hehhe;5
17888;uh;5
3968;sblumnya;5
4932;ppob;5
3971;reapon;5
4116;louding;5
134;jagan;5
5337;scara;5
11707;digunakandan;5
4664;lancarlancar;5
11715;telf;5
12978;ecomers;5
6195;kecawa;5
3796;cobacoba;5
3944;lah;5
16820;ferivikasi;5
976;buakalapak;5
4648;teimakasih;5
4928;hadeuh;5
1812;bloon;5
12474;gj;5
6070;ituitu;5
8401;halal;5
9167;berjamjam;5
2834;pahamisangat;5
2217;alasanya;5
8435;dasboar;5
7487;phpin;5
10332;sekrg;5
7488;ttup;5
9426;inisangat;5
2930;respone;5
7495;iklas;5
8883;kridit;5
10584;dbukalapak;5
3375;siiip;5
7855;pembayran;5
7313;indra;5
24632;sanga;5
458;diinput;5
2735;pe;5
6989;mndapatkan;5
7943;paltform;5
9166;seba;5
22661;anjink;5
7304;notip;5
2352;laennya;5
10329;barangny;5
2685;ge;5
2632;tsbt;5
28317;haiisaya;5
3325;sgala;5
2057;sreg;5
2670;mjd;5
9310;aplksi;5
9254;banyk;5
23324;sruh;5
7273;neng;5
2598;nympe;5
3178;lzd;5
2603;kmplain;5
9374;menyelsaikan;5
8567;lpak;5
9253;membli;5
7325;korup;5
9737;makek;5
2242;r;5
7406;efesien;5
9132;buk;5
2231;shoot;5
6946;mhal;5
8199;academysangat;5
10245;bukalapakdi;5
9814;insha;5
2436;updte;5
677;ferifikasi;5
2800;bida;5
8012;admint;5
6938;selatan;5
7373;transfr;5
7401;ongkis;5
10943;selesaimateri;5
2993;agr;5
3091;mpe;5
10734;kuti;5
2241;f;5
2489;aplod;5
3056;latter;5
2469;bik;5
22441;blablabla;5
1521;mbulet;4
18252;edan;4
13606;viturnya;4
4457;wd;4
5818;dikirm;4
13635;coz;4
7627;tlh;4
9226;nye;4
527;bagong;4
9197;quran;4
6087;bangetudah;4
25316;masul;4
12876;du;4
9568;inidi;4
2139;cakup;4
9546;mepet;4
6075;keman;4
4244;sampaisampai;4
13041;sanagt;4
25642;bnar;4
9465;disuru;4
9617;jwbn;4
6140;neraka;4
9772;sperpart;4
19246;uc;4
3028;nyapengiriman;2
8028;dmi;2
1786;penjualpenjual;2
8005;ricek;2
8015;heheh;2
7824;lambaaat;2
7915;plash;2
1861;kirimdan;2
7933;woooy;2
3802;ajatidak;2
7936;gabut;2
7964;okeoke;2
3684;nopin;2
8054;tlponya;2
